S1-M1,S2-M17,S3-M33,S4-M49
0.0051926009247277,0.0059569640433721,0.0068177251927053,0.0055753609252629
0.0050072176016516,0.0050657565289372,0.0057562672076231,0.0047290796292215
0.0041905867484511,0.0033613421118948,0.00376188110751,0.0031359531817765
0.0027368696254169,0.0008953770761935,0.0008896189611713,0.0008619550408
0.0007425389504001,-0.0021495052232106,-0.0026610864688935,-0.001895778998039
-0.0015663372758793,-0.00543414083349,-0.0065193159163688,-0.0047826544532888
-0.0038099426982943,-0.0084432966021571,-0.0101225449424304,-0.0072655708577977
-0.0054359387023081,-0.0104744853864046,-0.0127060141685733,-0.0086193021934908
-0.0057081878933617,-0.0106370636340491,-0.0133035797298205,-0.0079221320893351
-0.003704774435915,-0.0078629073314623,-0.0107612810905814,-0.0040620348044919
0.0016733721668649,-0.0009291490904668,-0.0037639184789954,0.0042459846310539
0.0116825782637429,0.0115074680230946,0.0091261211238819,0.0184315361681963
0.0277053116391284,0.0308660192799428,0.0294196079106486,0.0400303895790932
0.0512086828128889,0.0585888952457611,0.0586435481323047,0.0706375374143708
0.0836941473967407,0.0960843749993143,0.0982800882006006,0.111853974128351
0.126640673925009,0.144667763053976,0.149705149209926,0.165229792094155
0.181444195081519,0.205504761183365,0.214130750919272,0.232206393235057
0.249356547250847,0.279560616345531,0.29255467517042,0.314060605147968
0.331427294116352,0.367558159751689,0.385720494590735,0.411853294118498
0.428451806457412,0.46994717972445,0.494090139190582,0.526384724043048
0.540928726167584,0.586886726300915,0.617830194651922,0.658158469172081
0.669029484476911,0.718241014742057,0.756812121145921,0.807355199276764
0.812581892707073,0.863588663820382,0.910625631857916,0.973817160745549
0.971069012754581,1.02224414783295,1.07860363739909,1.15704370705389
1.1436435916928,1.19328961755587,1.25985649271132,1.35619780520004
1.32915737109548,1.37561469686052,1.45331281388198,1.57012306861106
1.52620362782317,1.56796151495386,1.65776388984526,1.7973705420293
1.73317044465003,1.76897210083196,1.87190870921143,2.03623418636197
1.94830151836339,1.97723534285999,2.09439684663577,2.28479377623307
2.16976084958126,2.19133098307619,2.32386687677675,2.54096372478847
